;year;Día;Mes;valor
663;2020;13;Nov;757.43
664;2020;14;Nov;0.0
665;2020;15;Nov;0.0
666;2020;16;Nov;766.7
667;2020;17;Nov;767.86
668;2020;18;Nov;767.05
669;2020;19;Nov;758.1
670;2020;20;Nov;758.62
671;2020;21;Nov;0.0
672;2020;22;Nov;0.0
673;2020;23;Nov;761.55
674;2020;24;Nov;765.96
675;2020;25;Nov;772.83
676;2020;26;Nov;771.68
677;2020;27;Nov;766.0
678;2020;28;Nov;0.0
679;2020;29;Nov;0.0
680;2020;30;Nov;766.69
681;2020;31;Nov;0.0
682;2019;1;Dic;0.0
683;2019;2;Dic;812.13
684;2019;3;Dic;804.29
685;2019;4;Dic;802.44
686;2019;5;Dic;796.75
687;2019;6;Dic;784.25
688;2019;7;Dic;0.0
689;2019;8;Dic;0.0
690;2019;9;Dic;779.04
691;2019;10;Dic;771.29
692;2019;11;Dic;778.14
693;2019;12;Dic;772.93
694;2019;13;Dic;768.69
695;2019;14;Dic;0.0
696;2019;15;Dic;0.0
697;2019;16;Dic;766.76
698;2019;17;Dic;762.83
699;2019;18;Dic;756.95
700;2019;19;Dic;752.3
701;2019;20;Dic;752.6
702;2019;21;Dic;0.0
703;2019;22;Dic;0.0
704;2019;23;Dic;749.83
705;2019;24;Dic;754.27
706;2019;25;Dic;0.0
707;2019;26;Dic;751.04
708;2019;27;Dic;746.66
709;2019;28;Dic;0.0
710;2019;29;Dic;0.0
711;2019;30;Dic;744.62
712;2019;31;Dic;0.0
713;2020;1;Dic;767.29
714;2020;2;Dic;760.16
715;2020;3;Dic;755.34
716;2020;4;Dic;752.03
717;2020;5;Dic;0.0
718;2020;6;Dic;0.0
719;2020;7;Dic;747.61
720;2020;8;Dic;0.0
721;2020;9;Dic;744.82
722;2020;10;Dic;739.45
723;2020;11;Dic;738.17
724;2020;12;Dic;0.0
725;2020;13;Dic;0.0
726;2020;14;Dic;733.55
727;2020;15;Dic;731.58
728;2020;16;Dic;734.23
729;2020;17;Dic;735.09
730;2020;18;Dic;723.44
731;2020;19;Dic;0.0
732;2020;20;Dic;0.0
733;2020;21;Dic;723.85
734;2020;22;Dic;730.7
735;2020;23;Dic;728.96
736;2020;24;Dic;716.25
737;2020;25;Dic;0.0
738;2020;26;Dic;0.0
739;2020;27;Dic;0.0
740;2020;28;Dic;710.26
741;2020;29;Dic;710.64
742;2020;30;Dic;711.24
743;2020;31;Dic;0.0
